mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_precision	mean_test_recall	param_n_neighbors	param_p	param_weights	params	rank_test_accuracy	rank_test_precision	rank_test_recall	split0_test_accuracy	split0_test_precision	split0_test_recall	split1_test_accuracy	split1_test_precision	split1_test_recall	split2_test_accuracy	split2_test_precision	split2_test_recall	split3_test_accuracy	split3_test_precision	split3_test_recall	split4_test_accuracy	split4_test_precision	split4_test_recall	std_fit_time	std_score_time	std_test_accuracy	std_test_precision	std_test_recall	model
4.501251649856568	434.6451193809509	0.353927625772286	0.353927625772286	0.353927625772286	2	1	uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 2}	22	22	22	0.14931945556445156	0.14931945556445156	0.14931945556445156	0.3505608974358974	0.3505608974358974	0.3505608974358974	0.4275972723626153	0.4275972723626153	0.4275972723626153	0.3848935315387706	0.3848935315387706	0.3848935315387706	0.4579815038198633	0.4579815038198633	0.4579815038198633	0.5640003768697863	27.576238752064615	0.10877042262782333	0.10877042262782333	0.10877042262782333	KNeighbors
3.294953632354736	435.36258454322814	0.36267351360025674	0.36267351360025674	0.36267351360025674	2	1	distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 2}	19	19	19	0.15292233787029624	0.15292233787029624	0.15292233787029624	0.35536858974358976	0.35536858974358976	0.35536858974358976	0.4332129963898917	0.4332129963898917	0.4332129963898917	0.4407392527119325	0.4407392527119325	0.4407392527119325	0.43184559710494574	0.43184559710494574	0.43184559710494574	0.02015994056152744	26.87678274962991	0.10952662263104622	0.10952662263104622	0.10952662263104622	KNeighbors
3.3242680072784423	473.6211780071259	0.5199390194977133	0.5199390194977133	0.5199390194977133	2	2	uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 2}	4	4	4	0.333466773418735	0.333466773418735	0.333466773418735	0.5600961538461539	0.5600961538461539	0.5600961538461539	0.5808263136782993	0.5808263136782993	0.5808263136782993	0.5548413017276015	0.5548413017276015	0.5548413017276015	0.5709690390028146	0.5709690390028146	0.5709690390028146	0.08113536808250942	31.27380687229207	0.09379179477712848	0.09379179477712848	0.09379179477712848	KNeighbors
3.283998203277588	474.31077966690066	0.4476450292866886	0.4476450292866886	0.4476450292866886	2	2	distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 2}	10	10	10	0.2878302642113691	0.2878302642113691	0.2878302642113691	0.4775641025641026	0.4775641025641026	0.4775641025641026	0.5234657039711191	0.5234657039711191	0.5234657039711191	0.46605062274005626	0.46605062274005626	0.46605062274005626	0.4837153196622437	0.4837153196622437	0.4837153196622437	0.0604844159267587	28.30164918322341	0.08231473692468831	0.08231473692468831	0.08231473692468831	KNeighbors
3.283936595916748	436.8904128551483	0.37133916392521865	0.37133916392521865	0.37133916392521865	5	1	uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 5}	18	18	18	0.18694955964771817	0.18694955964771817	0.18694955964771817	0.4362980769230769	0.4362980769230769	0.4362980769230769	0.4536702767749699	0.4536702767749699	0.4536702767749699	0.36520691040578546	0.36520691040578546	0.36520691040578546	0.4149577804583836	0.4149577804583836	0.4149577804583836	0.04757158269079308	29.26938389997012	0.09696799339894638	0.09696799339894638	0.09696799339894638	KNeighbors
3.297319841384888	434.91226601600647	0.3829736018615101	0.3829736018615101	0.3829736018615101	5	1	distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 5}	13	13	13	0.18534827862289832	0.18534827862289832	0.18534827862289832	0.4326923076923077	0.4326923076923077	0.4326923076923077	0.4428399518652226	0.4428399518652226	0.4428399518652226	0.4491763760546404	0.4491763760546404	0.4491763760546404	0.40530759951749096	0.40530759951749096	0.40530759951749096	0.03605356646632104	27.87668105237859	0.10007439230286173	0.10007439230286173	0.10007439230286173	KNeighbors
3.2989324569702148	473.65507130622865	0.5255556447083367	0.5255556447083367	0.5255556447083367	5	2	uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 5}	3	3	3	0.32025620496397117	0.32025620496397117	0.32025620496397117	0.5681089743589743	0.5681089743589743	0.5681089743589743	0.5976734857601284	0.5976734857601284	0.5976734857601284	0.5564483728404982	0.5564483728404982	0.5564483728404982	0.5858464012866907	0.5858464012866907	0.5858464012866907	0.10419916573279055	31.052014745572535	0.10376322487932584	0.10376322487932584	0.10376322487932584	KNeighbors
3.28939151763916	474.06033902168275	0.513359544250983	0.513359544250983	0.513359544250983	5	2	distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 5}	5	5	5	0.311048839071257	0.311048839071257	0.311048839071257	0.5528846153846154	0.5528846153846154	0.5528846153846154	0.5972723626153229	0.5972723626153229	0.5972723626153229	0.5339493772599437	0.5339493772599437	0.5339493772599437	0.5721753116204262	0.5721753116204262	0.5721753116204262	0.028297845331542403	30.36384580253233	0.10344080115529261	0.10344080115529261	0.10344080115529261	KNeighbors
3.295502519607544	437.021142244339	0.3715798764342454	0.3715798764342454	0.3715798764342454	10	1	uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 10}	17	17	17	0.1909527622097678	0.1909527622097678	0.1909527622097678	0.4395032051282051	0.4395032051282051	0.4395032051282051	0.43842759727236263	0.43842759727236263	0.43842759727236263	0.3812776215347529	0.3812776215347529	0.3812776215347529	0.4081222356252513	0.4081222356252513	0.4081222356252513	0.03623778942151199	28.18569384356235	0.0929648288959838	0.0929648288959838	0.0929648288959838	KNeighbors
3.3005971908569336	435.756706571579	0.3746289015485838	0.3746289015485838	0.3746289015485838	10	1	distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 10}	16	16	16	0.18935148118494796	0.18935148118494796	0.18935148118494796	0.4322916666666667	0.4322916666666667	0.4322916666666667	0.42438828720417165	0.42438828720417165	0.42438828720417165	0.41944556046605064	0.41944556046605064	0.41944556046605064	0.4081222356252513	0.4081222356252513	0.4081222356252513	0.06514170474755353	27.279851175449128	0.09309449969961765	0.09309449969961765	0.09309449969961765	KNeighbors
